experiment,model,fold,best_params,best_inner_score,inner_scoring,train_subjects,test_subjects
E05_150uv,erd_lr,1,{'clf__C': 10.0},0.6102699193185879,participant_mean_balanced_accuracy,1|2|3|4|5|7|8|11|14|15|18|19|21|25|26|28|30|31|33|34|35|36|37|38|39|40|41|42|43|45|46|47|50|52|53|55|59|60|61|62|63|65|66|67|68|69|70|71|72|73|76|78|79|80|82|83|85|86|87|88|89|90|91|92|93|94|95|97|98|101|102|103|104|105|108,6|10|12|16|20|23|27|29|51|57|58|64|74|81|84|96|100|106|107
E05_150uv,erd_lr,2,{'clf__C': 0.01},0.6095121288676659,participant_mean_balanced_accuracy,1|2|3|4|6|7|8|10|11|12|14|16|19|20|21|23|25|26|27|28|29|30|31|33|34|35|36|38|39|40|41|42|43|45|46|50|51|57|58|59|60|61|63|64|65|66|67|68|69|70|71|72|73|74|78|81|82|83|84|86|87|88|89|90|91|93|94|96|100|101|102|103|104|106|107,5|15|18|37|47|52|53|55|62|76|79|80|85|92|95|97|98|105|108
E05_150uv,erd_lr,3,{'clf__C': 0.01},0.6230425088546395,participant_mean_balanced_accuracy,1|2|3|4|5|6|7|8|10|12|15|16|18|19|20|21|23|26|27|29|31|33|34|35|36|37|40|43|46|47|50|51|52|53|55|57|58|59|60|62|63|64|65|66|68|69|72|74|76|79|80|81|82|83|84|85|89|90|91|92|93|94|95|96|97|98|100|101|102|103|104|105|106|107|108,11|14|25|28|30|38|39|41|42|45|61|67|70|71|73|78|86|87|88
E05_150uv,erd_lr,4,{'clf__C': 0.01},0.6106263755372079,participant_mean_balanced_accuracy,2|3|5|6|7|8|10|11|12|14|15|16|18|20|23|25|27|28|29|30|33|34|35|36|37|38|39|41|42|45|47|51|52|53|55|57|58|61|62|63|64|66|67|68|70|71|73|74|76|78|79|80|81|83|84|85|86|87|88|90|91|92|93|95|96|97|98|100|101|103|104|105|106|107|108,1|4|19|21|26|31|40|43|46|50|59|60|65|69|72|82|89|94|102
E05_150uv,erd_lr,5,{'clf__C': 1.0},0.6207294194519366,participant_mean_balanced_accuracy,1|4|5|6|10|11|12|14|15|16|18|19|20|21|23|25|26|27|28|29|30|31|37|38|39|40|41|42|43|45|46|47|50|51|52|53|55|57|58|59|60|61|62|64|65|67|69|70|71|72|73|74|76|78|79|80|81|82|84|85|86|87|88|89|92|94|95|96|97|98|100|102|105|106|107|108,2|3|7|8|33|34|35|36|63|66|68|83|90|91|93|101|103|104
