experiment,model,balanced_accuracy,macro_f1,accuracy,mcc,sensitivity,specificity,roc_auc,average_precision,subject,n_epochs
E05_150uv,erd_lr,0.5539950062421972,0.5410256410256411,0.553072625698324,0.11438017153911206,0.3888888888888889,0.7191011235955056,0.596629213483146,0.6351040723622354,1,179
E05_150uv,erd_lr,0.5917763157894737,0.5880508334708698,0.5897435897435898,0.18570311234067768,0.6710526315789473,0.5125,0.6723684210526315,0.6655119860332599,2,156
E05_150uv,erd_lr,0.5801495016611296,0.5659990651181187,0.5823529411764706,0.17301701900172664,0.39285714285714285,0.7674418604651163,0.6079734219269102,0.6469738767846307,3,170
E05_150uv,erd_lr,0.7303370786516854,0.7291058972733038,0.7303370786516854,0.464919548359946,0.797752808988764,0.6629213483146067,0.7969953288726171,0.769753606653153,4,178
E05_150uv,erd_lr,0.7256554307116105,0.7227963717960874,0.7262569832402235,0.4624127226700716,0.8333333333333334,0.6179775280898876,0.8242197253433209,0.8296686723116796,5,179
E05_150uv,erd_lr,0.6443236714975845,0.6439393939393939,0.6453900709219859,0.29022898411146064,0.6944444444444444,0.5942028985507246,0.7087359098228664,0.702821564333979,6,141
E05_150uv,erd_lr,0.5753211629479378,0.5752224364829663,0.5755813953488372,0.15079533997889433,0.5977011494252874,0.5529411764705883,0.6064908722109534,0.6293538524877031,7,172
E05_150uv,erd_lr,0.5874735729386893,0.5817307692307692,0.5862068965517241,0.17926274172019466,0.6976744186046512,0.4772727272727273,0.6224894291754757,0.6331622373738532,8,174
E05_150uv,erd_lr,0.6080246913580247,0.6037426260889949,0.6086956521739131,0.22133863135822104,0.5,0.7160493827160493,0.6578703703703703,0.7032009615310815,10,161
E05_150uv,erd_lr,0.5813358302122347,0.5796938104630411,0.5810055865921788,0.1638002695215336,0.5222222222222223,0.6404494382022472,0.5883895131086143,0.5513538192486898,11,179
E05_150uv,erd_lr,0.5920724094881398,0.5919750195160032,0.5921787709497207,0.18428291034849972,0.6111111111111112,0.5730337078651685,0.6146067415730337,0.5769862712958936,12,179
E05_150uv,erd_lr,0.6535580524344569,0.6535339660339661,0.6536312849162011,0.3072311942883065,0.6404494382022472,0.6666666666666666,0.7071161048689139,0.6568877042956263,14,179
E05_150uv,erd_lr,0.6133333333333333,0.6086956521739131,0.6086956521739131,0.22666666666666666,0.6666666666666666,0.56,0.7068783068783068,0.738356944980664,15,138
