subject,balanced_accuracy
1,0.7308488612836439
2,0.6541353383458646
3,0.6392857142857142
4,0.6363636363636364
5,0.5909090909090909
6,0.7207792207792207
7,0.6082251082251082
8,0.5345849802371542
10,0.6287878787878788
11,0.5
12,0.6462450592885376
14,0.7142857142857142
15,0.6038961038961039
16,0.6628787878787878
18,0.7007575757575758
19,0.6363636363636364
20,0.4813664596273291
21,0.5656565656565656
23,0.5833333333333334
25,0.5952380952380952
26,0.6376811594202898
28,0.7324561403508771
29,0.6383399209486166
30,0.4109848484848485
31,0.6097308488612836
33,0.6904761904761905
34,0.7045454545454546
35,0.5568181818181819
36,0.5227272727272727
37,0.6666666666666666
38,0.6956521739130435
39,0.7955882352941177
40,0.6569264069264069
41,0.7559288537549407
42,0.4519927536231884
43,0.6426630434782609
45,0.5433436532507739
46,0.4859307359307359
47,0.5486542443064182
50,0.6497584541062802
51,0.6948051948051948
53,0.5454545454545454
55,0.7826086956521738
57,0.8181818181818181
58,0.4637681159420289
59,0.6471861471861472
60,0.5331807780320366
61,0.5461956521739131
62,0.6326086956521739
63,0.512987012987013
64,0.6590909090909092
65,0.5780632411067194
66,0.6590909090909092
67,0.494824016563147
68,0.5909090909090909
69,0.5286561264822134
70,0.400197628458498
71,0.5286561264822134
72,0.6590909090909091
73,0.6719367588932806
74,0.5900621118012422
75,0.5833333333333333
76,0.6195652173913043
77,0.8130434782608695
78,0.5050505050505051
80,0.6136363636363636
81,0.9090909090909092
82,0.6458333333333334
83,0.7607142857142857
84,0.5770750988142292
85,0.5681818181818181
86,0.4151785714285714
87,0.6428571428571428
88,0.4838461538461538
89,0.7462121212121212
90,0.5345849802371542
91,0.7
92,0.3555555555555555
93,0.5690537084398977
94,0.6904761904761905
95,0.59375
96,0.675
97,0.6936758893280632
98,0.5942028985507246
101,0.5151515151515151
102,0.6709486166007905
103,0.4714285714285714
104,0.6442687747035574
105,0.447463768115942
106,0.4002557544757033
107,0.3991228070175438
108,0.6583333333333333
