subject,balanced_accuracy
1,0.5888888888888888
2,0.5839598997493735
3,0.6331168831168831
4,0.7222222222222222
5,0.6606060606060606
6,0.6704545454545454
7,0.5850951374207187
8,0.6888888888888889
10,0.6553911205073996
11,0.6444444444444444
12,0.6333333333333333
14,0.5626262626262626
15,0.6341085271317829
16,0.5777777777777778
18,0.8
19,0.5111111111111111
20,0.5777777777777777
21,0.5637254901960784
23,0.6263888888888889
25,0.6333333333333333
26,0.7555555555555555
27,0.5210622710622711
28,0.631578947368421
29,0.6111111111111112
30,0.5555555555555556
31,0.6333333333333333
32,0.6354166666666666
33,0.6954545454545455
34,0.6555555555555556
35,0.5777777777777777
36,0.471723044397463
37,0.6499999999999999
38,0.7222222222222222
39,0.6766917293233083
40,0.4534883720930233
41,0.7222222222222222
42,0.5222222222222221
43,0.763136288998358
44,0.719551282051282
45,0.6470588235294117
46,0.6666666666666666
47,0.5111111111111111
49,0.7718040621266428
50,0.5421568627450981
51,0.6444444444444444
52,0.7880608974358974
53,0.562015503875969
54,0.531986531986532
55,0.7444444444444445
56,0.6201923076923077
57,0.8233125354509359
58,0.4695090439276486
59,0.6058080808080808
60,0.6135307781649245
61,0.6444444444444445
62,0.6128205128205129
63,0.4833333333333333
64,0.6555555555555556
65,0.6555555555555556
66,0.6
67,0.5444444444444445
68,0.6323232323232323
69,0.5111111111111111
70,0.5666666666666667
71,0.6333333333333333
72,0.6444444444444444
73,0.5555555555555556
74,0.6333333333333333
75,0.6146469049694856
76,0.6222222222222222
77,0.7291666666666666
78,0.5520025839793281
79,0.6043650793650793
80,0.6498257839721254
81,0.9333333333333332
82,0.6444444444444444
83,0.7682926829268293
84,0.6517676767676768
85,0.5274841437632135
86,0.5333333333333333
87,0.7281653746770026
88,0.453538862353452
89,0.7222222222222222
90,0.5681818181818182
91,0.627906976744186
92,0.4732620320855615
93,0.5460317460317461
94,0.7093023255813953
95,0.6006944444444444
96,0.6992673992673992
97,0.6363636363636364
98,0.5444444444444445
99,0.4450800915331807
100,0.6901709401709402
101,0.5777777777777777
102,0.6111111111111112
103,0.473669623059867
104,0.5888888888888889
105,0.6288888888888888
106,0.4244652406417112
107,0.4144230769230769
108,0.6548780487804877
