subject,balanced_accuracy
1,0.5681818181818181
2,0.5822510822510822
3,0.5786749482401656
4,0.6669960474308301
5,0.8503787878787878
6,0.474937343358396
7,0.6590909090909092
8,0.5652173913043479
10,0.4761904761904761
11,0.5355731225296443
12,0.4880952380952381
14,0.5869565217391304
15,0.6363636363636364
16,0.6709486166007905
18,0.5869565217391305
19,0.6525974025974026
20,0.4223484848484848
23,0.55
25,0.6689723320158103
26,0.604978354978355
28,0.5836956521739131
29,0.6787439613526569
30,0.639751552795031
31,0.5533596837944664
33,0.5711462450592886
34,0.5056818181818181
35,0.682608695652174
36,0.6363636363636364
37,0.8636363636363636
38,0.7694805194805194
39,0.5562770562770563
40,0.6590909090909091
41,0.670807453416149
42,0.5869565217391304
43,0.6363636363636364
45,0.4523809523809523
46,0.5714285714285714
47,0.6525974025974026
49,0.6395833333333334
50,0.6255411255411256
51,0.6504329004329004
53,0.6264822134387352
55,0.708498023715415
57,0.7619047619047619
58,0.6309523809523809
59,0.5983981693363845
60,0.7583732057416268
61,0.762987012987013
62,0.5681818181818181
63,0.7144268774703557
64,0.7002164502164503
65,0.6576086956521738
66,0.663888888888889
67,0.5434782608695652
68,0.6547619047619048
69,0.7175324675324675
70,0.5978260869565217
71,0.7114624505928854
72,0.6729249011857708
73,0.5446224256292906
74,0.4523809523809524
75,0.6215277777777778
76,0.65311004784689
77,0.7958333333333334
78,0.6594202898550725
79,0.6709558823529411
80,0.6525974025974026
81,0.8478260869565217
82,0.5800395256916996
83,0.8260869565217391
84,0.5095693779904306
85,0.6544622425629291
86,0.6932367149758454
87,0.691304347826087
88,0.4969230769230769
89,0.674908424908425
90,0.6086956521739131
92,0.6295986622073578
93,0.5681818181818181
94,0.75
97,0.6644021739130435
98,0.6452569169960474
100,0.7916666666666667
101,0.683794466403162
102,0.5434782608695652
103,0.6587301587301587
104,0.5573593073593074
105,0.6306818181818181
106,0.6309523809523809
107,0.4882352941176471
