analysis,n,bacc,ci_low,ci_high
Primary E01,102,0.6179239767,0.6035525544008872,0.632899080752947
E01_strict,51,0.6140246117221465,0.5939350138864115,0.6348919341943466
E06_first60,102,0.6174294343606468,0.6021888970363913,0.6337650550573393
E06_all_events,102,0.6179239767273408,0.6035525544008872,0.632899080752947
Sampling-rate (excl. S088/092/100),99,0.6208994042979062,0.6068336331790134,0.6355133396657872
