subject,balanced_accuracy
1,0.5984848484848485
2,0.5802005012531328
3,0.7154150197628458
4,0.7391304347826086
5,0.7075098814229248
6,0.599802371541502
7,0.6159420289855072
8,0.7322134387351779
10,0.6590909090909092
11,0.6304347826086957
12,0.5573122529644269
14,0.5227743271221532
15,0.575098814229249
16,0.6055900621118012
18,0.815734989648033
19,0.5
20,0.5587121212121212
21,0.5679347826086957
23,0.7398989898989898
25,0.6517857142857143
26,0.803030303030303
29,0.6047430830039526
30,0.7091097308488613
31,0.5852272727272727
33,0.6983695652173914
34,0.5652173913043479
35,0.598343685300207
36,0.396103896103896
37,0.7333333333333334
38,0.7045454545454546
39,0.5995670995670996
40,0.461038961038961
41,0.6897233201581028
42,0.5151515151515151
45,0.5745098039215686
46,0.6635610766045548
47,0.513157894736842
50,0.4176136363636363
51,0.5570652173913043
52,0.7055555555555556
53,0.5289855072463768
54,0.58125
55,0.7954545454545454
57,0.8258145363408521
58,0.5454545454545454
59,0.5652173913043478
60,0.7741545893719807
61,0.7673160173160173
62,0.7165071770334928
63,0.5031055900621118
64,0.6521739130434783
65,0.5473145780051151
66,0.5217391304347826
67,0.5928030303030303
68,0.6936758893280632
69,0.6709486166007905
70,0.5830039525691699
71,0.6699604743083004
72,0.5652173913043479
73,0.4614624505928854
74,0.6458333333333333
75,0.5520833333333333
76,0.5533596837944664
78,0.5714285714285714
79,0.6372997711670481
80,0.5894736842105264
81,0.8478260869565217
82,0.5952380952380952
83,0.8761904761904762
84,0.6136363636363635
85,0.5616883116883117
86,0.5875
87,0.7196969696969697
88,0.4136904761904762
89,0.7184265010351967
90,0.5075757575757576
91,0.5434782608695652
92,0.5208333333333334
93,0.4873737373737373
94,0.7272727272727273
95,0.63125
96,0.6213450292397661
97,0.6006493506493507
98,0.5416666666666667
101,0.572463768115942
102,0.6393280632411067
103,0.5859213250517599
104,0.4654150197628458
106,0.4509803921568627
107,0.4047619047619047
108,0.7305764411027569
