threshold,n,bacc,ci_low,ci_high
No rejection,109,0.6185680325505829,0.6059231122670286,0.63271016261877
150 µV,94,0.6168866326577104,0.6016107827733146,0.6315603070032296
200 µV (primary),102,0.6179239767273408,0.6035525544008872,0.632899080752947
