subject,bacc_sm,bacc_sc,difference_sm_minus_sc
1,0.5611111111111111,0.5232267732267732,0.0378843378843378
5,0.7144194756554307,0.5824894514767932,0.1319300241786375
6,0.6191813804173355,0.5741185897435898,0.0450627906737457
7,0.5421348314606742,0.6161909009812667,-0.0740560695205925
8,0.6111111111111112,0.4965667915106118,0.1145443196004993
10,0.6039964249233912,0.5244725738396625,0.0795238510837287
11,0.5980649188514358,0.5944444444444444,0.0036204744069913
12,0.6,0.5449735449735449,0.055026455026455
14,0.6313358302122347,0.5976279650436953,0.0337078651685394
15,0.625,0.5891996142719382,0.0358003857280617
16,0.5722222222222222,0.5869256948383437,-0.0147034726161214
18,0.6888888888888889,0.6833333333333333,0.0055555555555555
20,0.4833333333333333,0.5333333333333333,-0.05
21,0.6508097165991903,0.5850129198966408,0.0657967967025494
25,0.6555555555555556,0.5333333333333333,0.1222222222222222
26,0.7444444444444445,0.6611111111111111,0.0833333333333333
28,0.6189410311824637,0.5833333333333333,0.0356076978491304
29,0.6362784471218206,0.5534136546184738,0.0828647925033467
30,0.5555555555555556,0.5222222222222221,0.0333333333333334
31,0.5944444444444444,0.5555555555555556,0.0388888888888888
33,0.6116573033707865,0.5842696629213483,0.0273876404494382
34,0.5777777777777777,0.5555555555555556,0.0222222222222221
35,0.5304878048780488,0.5177506775067751,0.0127371273712737
36,0.5493206166710217,0.5848817567567568,-0.035561140085735
37,0.7533333333333334,0.7666666666666666,-0.0133333333333331
38,0.7303370786516854,0.5546027742749055,0.1757343043767799
39,0.6082211197732106,0.6082949308755761,-7.381110236548416e-05
40,0.5444347319347319,0.6129445449065702,-0.0685098129718383
41,0.6888888888888889,0.6333333333333333,0.0555555555555555
42,0.5777777777777778,0.5833333333333333,-0.0055555555555554
43,0.733132530120482,0.6098484848484849,0.1232840452719971
45,0.5833902939166097,0.6215384615384616,-0.0381481676218519
47,0.6258169934640523,0.5944444444444444,0.0313725490196078
49,0.753968253968254,0.6162280701754386,0.1377401837928153
50,0.530028129395218,0.6425457102672293,-0.1125175808720112
51,0.6611111111111111,0.6444444444444445,0.0166666666666666
52,0.6994047619047619,0.640990990990991,0.0584137709137708
54,0.5660377358490566,0.5990740740740741,-0.0330363382250175
55,0.7055555555555555,0.5944444444444444,0.111111111111111
57,0.7646670190274841,0.630718954248366,0.1339480647791181
59,0.6650401069518717,0.6047856253335706,0.060254481618301
62,0.6003210272873194,0.4647538790797217,0.1355671482075976
63,0.5367032392894462,0.5735867446393762,-0.03688350534993
64,0.6499999999999999,0.6,0.0499999999999999
65,0.6230614973262032,0.529795821462488,0.0932656758637151
66,0.594534609515883,0.5886623416743899,0.005872267841493
67,0.5388888888888889,0.5303683385579938,0.008520550330895
68,0.6117211440245148,0.5364130434782608,0.075308100546254
69,0.5722222222222222,0.5375,0.0347222222222222
70,0.5277777777777778,0.5439841558012873,-0.0162063780235095
71,0.6277777777777778,0.5954664341761116,0.0323113436016662
72,0.6333333333333333,0.6084893882646691,0.0248439450686641
73,0.5368563685636857,0.4796747967479674,0.0571815718157182
74,0.6277777777777778,0.519725343320849,0.1080524344569288
76,0.6637215528781794,0.6655957161981259,-0.0018741633199464
77,0.784072249589491,0.7121360411059456,0.0719362084835453
78,0.6107954545454546,0.5763649425287356,0.0344305120167189
79,0.6636828644501278,0.7051920341394026,-0.0415091696892747
80,0.6430232558139535,0.4832792207792208,0.1597440350347326
81,0.8833333333333333,0.7333333333333334,0.1499999999999999
82,0.6222222222222222,0.5971199793361746,0.0251022428860476
84,0.6071935942141289,0.5105263157894737,0.0966672784246551
85,0.58607544141252,0.6235632183908046,-0.0374877769782846
86,0.5839080459770115,0.5049350024073183,0.0789730435696932
87,0.667478354978355,0.5438273670123788,0.1236509879659761
88,0.4698329207920792,0.488328313253012,-0.0184953924609328
89,0.702061855670103,0.6291523482245132,0.0729095074455898
90,0.5852272727272727,0.5116892911010558,0.0735379816262169
92,0.5101547388781431,0.5791977611940299,-0.0690430223158867
93,0.5525316455696202,0.503370786516854,0.0491608590527662
94,0.7660054719562244,0.641025641025641,0.1249798309305834
97,0.6346796234436685,0.6740442655935615,-0.0393646421498929
98,0.55,0.5333333333333333,0.0166666666666667
101,0.5888888888888889,0.6756112104949314,-0.0867223216060425
102,0.5944444444444444,0.5666666666666667,0.0277777777777777
104,0.591372852899393,0.5861423220973783,0.0052305308020147
105,0.6260869565217391,0.5964802011313639,0.0296067553903751
