model,key,bacc,ci_low,ci_high
Dummy,dummy,0.5,0.5,0.5
CSP-LDA,csp_lda,0.5557153979515653,0.5406384206402396,0.5718931269990384
Riemannian-LR,tangent_lr,0.5833626881212016,0.5685916776269356,0.599239028041463
ERD-LR (primary),erd_lr,0.6179239767273408,0.6035525544008872,0.632899080752947
