subject,balanced_accuracy
1,0.5111111111111111
2,0.6227729885057471
3,0.5064746300211417
4,0.6611111111111112
5,0.5346441947565543
6,0.5280898876404494
7,0.5449438202247191
8,0.5055555555555555
10,0.5351762002042901
11,0.5495630461922597
12,0.5
14,0.5744694132334582
15,0.6363636363636364
16,0.7
18,0.6055555555555555
19,0.5191635455680399
20,0.5166666666666666
21,0.5926113360323887
23,0.6910934744268078
25,0.6
26,0.6333333333333333
27,0.5580316742081448
28,0.5913862303179993
29,0.7791164658634537
30,0.55
31,0.6222222222222222
32,0.5085692995529061
33,0.6591547497446374
34,0.5666666666666667
35,0.4887533875338753
36,0.5118238829370264
37,0.5
38,0.5786516853932584
39,0.5878100637845499
40,0.5
41,0.7222222222222222
42,0.5
43,0.6844234079173839
44,0.6153191489361702
45,0.6065447710184553
46,0.6034926221740896
47,0.5003267973856209
49,0.5158730158730158
50,0.5063291139240507
51,0.5444444444444444
52,0.6557539682539683
53,0.5002642706131079
54,0.5849056603773585
55,0.5611111111111111
56,0.5314465408805031
57,0.647463002114165
58,0.6968434343434344
59,0.6437834224598931
60,0.5369358003924867
61,0.8714731585518103
62,0.5119047619047619
63,0.5
64,0.5111111111111111
65,0.6374331550802139
66,0.499445138021917
67,0.6111111111111112
68,0.5441777323799796
69,0.5333333333333333
70,0.6166666666666667
71,0.6611111111111111
72,0.6388888888888888
73,0.5059620596205963
74,0.6
75,0.6309755569976205
76,0.5
77,0.7523262178434592
78,0.6585227272727273
79,0.6791346973572037
80,0.4763337893296854
81,0.7444444444444445
82,0.5888888888888889
83,0.5470588235294118
84,0.5016789358129924
85,0.7708667736757624
86,0.517487684729064
87,0.6669372294372294
88,0.498401402640264
89,0.6107674684994273
90,0.5056818181818182
91,0.6121530382595649
92,0.5464216634429401
93,0.6220112517580872
94,0.5930232558139534
95,0.5848958333333334
96,0.6072635135135135
97,0.5610385666565442
98,0.6166666666666667
99,0.5
100,0.5214285714285715
101,0.4499999999999999
102,0.5833333333333334
103,0.5783132530120482
104,0.6312152912307891
105,0.5
106,0.4873484848484848
107,0.5864890885750962
108,0.8008991008991009
