experiment,model,balanced_accuracy,macro_f1,accuracy,mcc,sensitivity,specificity,roc_auc,average_precision,subject,n_epochs
E05_200uv,erd_lr,0.5611111111111111,0.5476955373898661,0.5611111111111111,0.13018891098082386,0.3888888888888889,0.7333333333333333,0.597037037037037,0.6297544390471647,1,180
E05_200uv,erd_lr,0.5883620689655172,0.5867670790747714,0.5868263473053892,0.17695310473567238,0.625,0.5517241379310345,0.6593390804597701,0.6465227064486248,2,167
E05_200uv,erd_lr,0.5885306553911205,0.5697802197802198,0.5862068965517241,0.1933893926654,0.38636363636363635,0.7906976744186046,0.5973837209302325,0.6637952885355998,3,174
E05_200uv,erd_lr,0.7333333333333334,0.7321428571428572,0.7333333333333333,0.4708709557974187,0.8,0.6666666666666666,0.8018518518518518,0.7926639729950424,4,180
E05_200uv,erd_lr,0.7144194756554307,0.7107139461926039,0.7150837988826816,0.44176828845897426,0.8333333333333334,0.5955056179775281,0.8186017478152311,0.8245935530669667,5,179
E05_200uv,erd_lr,0.6191813804173355,0.6184843624699279,0.6184971098265896,0.23845846963629316,0.6428571428571429,0.5955056179775281,0.6754949170679508,0.6675046237457367,6,173
E05_200uv,erd_lr,0.5421348314606742,0.5414361106668799,0.5423728813559322,0.0845725587068616,0.5842696629213483,0.5,0.5870786516853933,0.6253723514341724,7,177
E05_200uv,erd_lr,0.6111111111111112,0.60625,0.6111111111111112,0.2279211529192759,0.7222222222222222,0.5,0.6480246913580247,0.6673009494427539,8,180
E05_200uv,erd_lr,0.6039964249233912,0.6008376288659794,0.6045197740112994,0.21170145708348578,0.5113636363636364,0.6966292134831461,0.6486210418794688,0.6542918114815526,10,177
E05_200uv,erd_lr,0.5980649188514358,0.5967459324155193,0.5977653631284916,0.19724106380623566,0.5444444444444444,0.651685393258427,0.6066167290886393,0.5669950912990878,11,179
E05_200uv,erd_lr,0.6,0.5995550611790879,0.6,0.2004459314343183,0.6333333333333333,0.5666666666666667,0.6285185185185185,0.5915279397262219,12,180
E05_200uv,erd_lr,0.6313358302122347,0.6312734082397004,0.6312849162011173,0.2627044595330975,0.6404494382022472,0.6222222222222222,0.6942571785268414,0.6378744735309898,14,179
E05_200uv,erd_lr,0.625,0.6226120857699805,0.625,0.253225090533872,0.7045454545454546,0.5454545454545454,0.7073863636363635,0.7374542657500711,15,176
E05_200uv,erd_lr,0.5722222222222222,0.5488134379374329,0.5722222222222222,0.16225932480847846,0.8,0.34444444444444444,0.6358024691358025,0.6381368490499602,16,180
E05_200uv,erd_lr,0.6888888888888889,0.6841709487404437,0.6888888888888889,0.3895968612369898,0.5666666666666667,0.8111111111111111,0.7795061728395062,0.7443700256615149,18,180
