balanced_accuracy,macro_f1,accuracy,mcc,sensitivity,specificity,roc_auc,average_precision,experiment,model,fold,n_train_epochs,n_test_epochs,n_train_subjects,n_test_subjects
0.588216276477146,0.5879494920260429,0.5879511224779767,0.1764477201334164,0.6017391304347826,0.5746934225195095,0.6314840127316498,0.6281493455589727,E05_200uv,erd_lr,1,13394,3519,81,21
0.6456902237400302,0.6456744093032152,0.6456855791962175,0.29136787741923564,0.6451990632318502,0.64618138424821,0.7072686864565458,0.7096439466463995,E05_200uv,erd_lr,2,13529,3384,81,21
0.6329340260264299,0.632894835076363,0.6329370832125254,0.26592761277314236,0.6434782608695652,0.6223897911832946,0.6804932916372439,0.6671810041098198,E05_200uv,erd_lr,3,13464,3449,82,20
0.6265216837777496,0.626495604357044,0.626594387755102,0.2531300226924998,0.613855035279025,0.6391883322764743,0.6590557903603882,0.6503142285715842,E05_200uv,erd_lr,4,13777,3136,82,20
0.5952134704410854,0.5946029900288281,0.5950364963503649,0.1908977707828833,0.5595583962812318,0.630868544600939,0.6359950814708121,0.6357478225578669,E05_200uv,erd_lr,5,13488,3425,82,20
