subject,bacc_primary,bacc_sens,difference_sens_minus_primary
1,0.5611111111111111,0.5611111111111111,0.0
2,0.5883620689655172,0.5826149425287357,-0.0057471264367815
3,0.5885306553911205,0.6000264270613107,0.0114957716701902
4,0.7333333333333334,0.7333333333333334,0.0
5,0.7144194756554307,0.7032459425717852,-0.0111735330836455
6,0.6191813804173355,0.6191813804173355,0.0
7,0.5421348314606742,0.553370786516854,0.0112359550561798
8,0.6111111111111112,0.6055555555555555,-0.0055555555555556
10,0.6039964249233912,0.6264683350357507,0.0224719101123594
11,0.5980649188514358,0.59812734082397,6.242197253425452e-05
12,0.6,0.6000000000000001,1.1102230246251563e-16
14,0.6313358302122347,0.6256554307116104,-0.0056803995006242
15,0.625,0.6193181818181819,-0.0056818181818181
16,0.5722222222222222,0.5888888888888889,0.0166666666666667
18,0.6888888888888889,0.6888888888888889,0.0
19,0.6035580524344569,0.6091136079900125,0.0055555555555555
20,0.4833333333333333,0.4944444444444444,0.0111111111111111
21,0.6508097165991903,0.6310728744939271,-0.0197368421052631
23,0.6017636684303351,0.6131393298059964,0.0113756613756612
25,0.6555555555555556,0.6611111111111111,0.0055555555555555
26,0.7444444444444445,0.7388888888888889,-0.0055555555555555
27,0.5933257918552036,0.5740950226244343,-0.0192307692307692
28,0.6189410311824637,0.6250385921580734,0.0060975609756097
29,0.6362784471218206,0.6246987951807229,-0.0115796519410976
30,0.5555555555555556,0.5722222222222222,0.0166666666666666
31,0.5944444444444444,0.5944444444444444,0.0
32,0.5221684053651267,0.5026080476900149,-0.0195603576751117
33,0.6116573033707865,0.6172114402451481,0.0055541368743615
34,0.5777777777777777,0.5777777777777777,0.0
35,0.5304878048780488,0.5466124661246612,0.0161246612466123
36,0.5493206166710217,0.5376927096942775,-0.0116279069767442
37,0.7533333333333334,0.7666666666666666,0.0133333333333331
38,0.7303370786516854,0.7247191011235955,-0.0056179775280899
39,0.6082211197732106,0.5963146704464919,-0.0119064493267186
40,0.5444347319347319,0.5330710955710956,-0.0113636363636363
41,0.6888888888888889,0.7,0.011111111111111
42,0.5777777777777778,0.5722222222222222,-0.0055555555555556
43,0.733132530120482,0.7188468158347676,-0.0142857142857143
44,0.617872340425532,0.637872340425532,0.02
45,0.5833902939166097,0.5897129186602871,0.0063226247436773
46,0.6125626099905239,0.6237985650467037,0.0112359550561798
47,0.6258169934640523,0.6258169934640523,0.0
49,0.753968253968254,0.753968253968254,0.0
50,0.530028129395218,0.540365682137834,0.0103375527426159
51,0.6611111111111111,0.6666666666666666,0.0055555555555555
52,0.6994047619047619,0.7132936507936508,0.0138888888888889
53,0.5708245243128964,0.5882663847780127,0.0174418604651163
54,0.5660377358490566,0.5660377358490566,0.0
55,0.7055555555555555,0.7055555555555555,0.0
56,0.6054384017758047,0.5858305586385497,-0.0196078431372549
57,0.7646670190274841,0.7704809725158562,0.0058139534883721
58,0.5133838383838384,0.5135101010101011,0.0001262626262626
59,0.6650401069518717,0.6707219251336898,0.0056818181818181
60,0.6845388281469021,0.6787917017101206,-0.0057471264367815
61,0.6602372034956304,0.6546816479400749,-0.0055555555555555
62,0.6003210272873194,0.6237961476725522,0.0234751203852328
63,0.5367032392894462,0.5309561128526645,-0.0057471264367816
64,0.6499999999999999,0.6333333333333333,-0.0166666666666666
65,0.6230614973262032,0.6285427807486631,0.0054812834224599
66,0.594534609515883,0.6012623110001387,0.0067277014842557
67,0.5388888888888889,0.55,0.0111111111111111
68,0.6117211440245148,0.6117211440245148,0.0
69,0.5722222222222222,0.55,-0.0222222222222221
70,0.5277777777777778,0.5222222222222221,-0.0055555555555556
71,0.6277777777777778,0.6222222222222222,-0.0055555555555555
72,0.6333333333333333,0.6277777777777778,-0.0055555555555555
73,0.5368563685636857,0.5318428184281843,-0.0050135501355014
74,0.6277777777777778,0.6277777777777778,0.0
75,0.6403850313649145,0.6406013411204845,0.0002163097555699
76,0.6637215528781794,0.6632530120481928,-0.0004685408299865
77,0.784072249589491,0.776135741652983,-0.0079365079365079
78,0.6107954545454546,0.6107954545454546,0.0
79,0.6636828644501278,0.6563299232736572,-0.0073529411764705
80,0.6430232558139535,0.6313953488372093,-0.0116279069767442
81,0.8833333333333333,0.8833333333333333,0.0
82,0.6222222222222222,0.6111111111111112,-0.011111111111111
83,0.73187414500684,0.73187414500684,0.0
84,0.6071935942141289,0.6013173188686556,-0.0058762753454733
85,0.58607544141252,0.5923622257891921,0.006286784376672
86,0.5839080459770115,0.5954022988505747,0.0114942528735632
87,0.667478354978355,0.6672077922077921,-0.0002705627705628
89,0.702061855670103,0.7076174112256587,0.0055555555555556
90,0.5852272727272727,0.5795454545454546,-0.0056818181818181
91,0.6691672918229558,0.6669167291822955,-0.0022505626406602
93,0.5525316455696202,0.5573136427566807,0.0047819971870605
94,0.7660054719562244,0.7718194254445965,0.0058139534883721
95,0.60625,0.621875,0.015625
96,0.6853885135135135,0.6932010135135135,0.0078125
97,0.6346796234436685,0.611068934102642,-0.0236106893410265
98,0.55,0.5611111111111111,0.011111111111111
99,0.4878787878787879,0.503030303030303,0.0151515151515151
101,0.5888888888888889,0.6,0.011111111111111
102,0.5944444444444444,0.5944444444444444,0.0
103,0.5421686746987951,0.5301204819277108,-0.0120481927710843
104,0.591372852899393,0.5856257264626115,-0.0057471264367815
105,0.6260869565217391,0.6355072463768116,0.0094202898550724
106,0.4515151515151515,0.4581818181818182,0.0066666666666667
107,0.451379974326059,0.4443196405648267,-0.0070603337612322
108,0.7003996003996005,0.7015984015984016,0.0011988011988011
