subject,bacc_primary,bacc_first60,delta_first60_minus_primary
1,0.5611111111111111,0.5833333333333334,0.022222222222222254
2,0.5883620689655172,0.6712454212454213,0.08288335227990407
3,0.5885306553911205,0.5579268292682926,-0.03060382612282786
4,0.7333333333333334,0.7380952380952381,0.004761904761904745
5,0.7144194756554307,0.7096399535423925,-0.004779522113038226
6,0.6191813804173355,0.6301829268292682,0.011001546411932739
7,0.5421348314606742,0.6095238095238096,0.06738897806313537
8,0.6111111111111112,0.5952380952380953,-0.015873015873015817
10,0.6039964249233912,0.6254355400696865,0.021439115146295262
11,0.5980649188514358,0.5833333333333333,-0.014731585518102497
12,0.6,0.5952380952380952,-0.004761904761904745
14,0.6313358302122347,0.6024970963995354,-0.028838733812699302
15,0.625,0.6254355400696865,0.00043554006968649084
16,0.5722222222222222,0.5714285714285714,-0.0007936507936507908
18,0.6888888888888889,0.6071428571428572,-0.08174603174603168
19,0.6035580524344569,0.6631823461091754,0.05962429367471844
20,0.4833333333333333,0.4642857142857143,-0.01904761904761898
21,0.6508097165991903,0.6733333333333333,0.022523616734143048
23,0.6017636684303351,0.6024182076813656,0.0006545392510304282
25,0.6555555555555556,0.6785714285714286,0.023015873015873045
26,0.7444444444444445,0.8095238095238095,0.06507936507936507
27,0.5933257918552036,0.5552631578947369,-0.03806263396046672
28,0.6189410311824637,0.5585585585585585,-0.06038247262390517
29,0.6362784471218206,0.6428571428571428,0.006578695735322215
30,0.5555555555555556,0.5595238095238095,0.003968253968253954
31,0.5944444444444444,0.5833333333333334,-0.011111111111111072
32,0.5221684053651267,0.5101449275362319,-0.01202347782889479
33,0.6116573033707865,0.5940766550522648,-0.017580648318521686
34,0.5777777777777777,0.5952380952380952,0.01746031746031751
35,0.5304878048780488,0.5952380952380952,0.06475029036004643
36,0.5493206166710217,0.5545876887340302,0.005267072063008471
37,0.7533333333333334,0.6857142857142857,-0.06761904761904769
38,0.7303370786516854,0.7238675958188154,-0.006469482832869966
39,0.6082211197732106,0.6760475297060663,0.06782640993285571
40,0.5444347319347319,0.540650406504065,-0.0037843254306668683
41,0.6888888888888889,0.6785714285714286,-0.01031746031746028
42,0.5777777777777778,0.5714285714285714,-0.006349206349206438
43,0.733132530120482,0.7695195195195195,0.036386989399037506
44,0.617872340425532,0.6372679045092838,0.01939556408375187
45,0.5833902939166097,0.5344512195121951,-0.048939074404414584
46,0.6125626099905239,0.6235146966854284,0.01095208669490444
47,0.6258169934640523,0.6071428571428572,-0.01867413632119508
49,0.753968253968254,0.7757936507936507,0.021825396825396748
50,0.530028129395218,0.510989010989011,-0.01903911840620709
51,0.6611111111111111,0.5833333333333333,-0.07777777777777783
52,0.6994047619047619,0.6986062717770035,-0.0007984901277583445
53,0.5708245243128964,0.5441347270615563,-0.02668979725134013
54,0.5660377358490566,0.6189516129032258,0.05291387705416917
55,0.7055555555555555,0.7380952380952381,0.032539682539682646
56,0.6054384017758047,0.5606060606060606,-0.044832341169744105
57,0.7646670190274841,0.7346109175377468,-0.030056101489737364
58,0.5133838383838384,0.5357142857142857,0.02233044733044731
59,0.6650401069518717,0.6986062717770035,0.03356616482513186
60,0.6845388281469021,0.6203007518796992,-0.0642380762672029
61,0.6602372034956304,0.6785714285714286,0.018334225075798183
62,0.6003210272873194,0.6666666666666667,0.06634563937934734
63,0.5367032392894462,0.6,0.06329676071055379
64,0.6499999999999999,0.5952380952380952,-0.05476190476190468
65,0.6230614973262032,0.5795731707317073,-0.04348832659449586
66,0.594534609515883,0.576945412311266,-0.017589197204617046
67,0.5388888888888889,0.5119047619047619,-0.026984126984127
68,0.6117211440245148,0.5929152148664344,-0.018805929158080437
69,0.5722222222222222,0.5714285714285714,-0.0007936507936507908
70,0.5277777777777778,0.5357142857142857,0.007936507936507908
71,0.6277777777777778,0.6428571428571428,0.015079365079365026
72,0.6333333333333333,0.6547619047619048,0.021428571428571463
73,0.5368563685636857,0.5476190476190476,0.010762679055361879
74,0.6277777777777778,0.5952380952380952,-0.032539682539682535
75,0.6403850313649145,0.6066176470588236,-0.03376738430609094
76,0.6637215528781794,0.5714285714285714,-0.09229298144960796
77,0.784072249589491,0.8406223717409588,0.05655012215146782
78,0.6107954545454546,0.6393728222996515,0.028577367754196947
79,0.6636828644501278,0.6687258687258688,0.005043004275741003
80,0.6430232558139535,0.6077702702702703,-0.03525298554368317
81,0.8833333333333333,0.8809523809523809,-0.0023809523809523725
82,0.6222222222222222,0.6190476190476191,-0.0031746031746031633
83,0.73187414500684,0.7406931964056482,0.00881905139880823
84,0.6071935942141289,0.5650406504065041,-0.0421529438076248
85,0.58607544141252,0.6431322207958922,0.05705677938337217
86,0.5839080459770115,0.5676470588235294,-0.01626098715348212
87,0.667478354978355,0.6547619047619048,-0.012716450216450181
88,0.4698329207920792,0.45,-0.01983292079207921
89,0.702061855670103,0.6785714285714286,-0.023490427098674438
90,0.5852272727272727,0.5542682926829269,-0.03095898004434583
91,0.6691672918229558,0.7032258064516128,0.034058514628657055
92,0.5101547388781431,0.5345365418894831,0.024381803011339964
93,0.5525316455696202,0.5256410256410257,-0.02689061992859454
94,0.7660054719562244,0.7352564102564103,-0.030749061699814062
95,0.60625,0.5944444444444444,-0.011805555555555514
96,0.6853885135135135,0.651082251082251,-0.034306262431262446
97,0.6346796234436685,0.5761904761904761,-0.05848914725319232
98,0.55,0.4523809523809524,-0.09761904761904766
99,0.4878787878787879,0.5814479638009049,0.093569175922117
100,0.6309523809523809,0.6736111111111112,0.04265873015873023
101,0.5888888888888889,0.6785714285714286,0.0896825396825397
102,0.5944444444444444,0.5238095238095238,-0.0706349206349206
103,0.5421686746987951,0.5194462755438365,-0.02272239915495866
104,0.591372852899393,0.5833333333333333,-0.00803951956605975
105,0.6260869565217391,0.6396103896103896,0.01352343308865056
106,0.4515151515151515,0.5075046904315197,0.05598953891636821
107,0.451379974326059,0.4624183006535948,0.011038326327535819
108,0.7003996003996005,0.7834541858932103,0.08305458549360978
