subject,e00,e01,difference_e01_minus_e00
1,0.5611111111111111,0.5611111111111111,0.0
2,0.4892241379310345,0.5883620689655172,0.0991379310344827
3,0.5215380549682875,0.5885306553911205,0.0669926004228329
4,0.5222222222222223,0.7333333333333334,0.2111111111111111
5,0.6212234706616729,0.7144194756554307,0.0931960049937578
6,0.5371187800963082,0.6191813804173355,0.0820626003210273
7,0.4487359550561798,0.5421348314606742,0.0933988764044944
8,0.5166666666666667,0.6111111111111112,0.0944444444444444
10,0.526046986721144,0.6039964249233912,0.0779494382022472
11,0.4584893882646691,0.5980649188514358,0.1395755305867666
12,0.5,0.6,0.0999999999999999
14,0.5281523096129838,0.6313358302122347,0.1031835205992509
15,0.4659090909090909,0.625,0.1590909090909091
16,0.6111111111111112,0.5722222222222222,-0.0388888888888889
18,0.5,0.6888888888888889,0.1888888888888888
19,0.6153558052434457,0.6035580524344569,-0.0117977528089887
20,0.5222222222222221,0.4833333333333333,-0.0388888888888888
21,0.5116396761133604,0.6508097165991903,0.1391700404858299
23,0.4958553791887125,0.6017636684303351,0.1059082892416226
25,0.5944444444444444,0.6555555555555556,0.0611111111111111
26,0.5888888888888888,0.7444444444444445,0.1555555555555556
27,0.4774886877828054,0.5933257918552036,0.1158371040723982
28,0.5697746217968509,0.6189410311824637,0.0491664093856127
29,0.5078313253012048,0.6362784471218206,0.1284471218206158
30,0.5111111111111111,0.5555555555555556,0.0444444444444445
31,0.5611111111111111,0.5944444444444444,0.0333333333333333
32,0.4817436661698956,0.5221684053651267,0.0404247391952309
33,0.5671603677221655,0.6116573033707865,0.044496935648621
34,0.4944444444444444,0.5777777777777777,0.0833333333333333
35,0.5875338753387533,0.5304878048780488,-0.0570460704607045
36,0.5168539325842697,0.5493206166710217,0.032466684086752
37,0.5866666666666667,0.7533333333333334,0.1666666666666667
38,0.595505617977528,0.7303370786516854,0.1348314606741574
39,0.5242381289865344,0.6082211197732106,0.0839829907866761
40,0.5072843822843822,0.5444347319347319,0.0371503496503496
41,0.5555555555555556,0.6888888888888889,0.1333333333333333
