subject,balanced_accuracy
1,0.5611111111111111
2,0.5883620689655172
3,0.5885306553911205
4,0.7333333333333334
5,0.7144194756554307
6,0.6191813804173355
7,0.5421348314606742
8,0.6111111111111112
10,0.6039964249233912
11,0.5980649188514358
12,0.6
14,0.6313358302122347
15,0.625
16,0.5722222222222222
18,0.6888888888888889
19,0.6035580524344569
20,0.4833333333333333
21,0.6508097165991903
23,0.6017636684303351
25,0.6555555555555556
26,0.7444444444444445
27,0.5933257918552036
28,0.6189410311824637
29,0.6362784471218206
30,0.5555555555555556
31,0.5944444444444444
32,0.5221684053651267
33,0.6116573033707865
34,0.5777777777777777
35,0.5304878048780488
36,0.5493206166710217
37,0.7533333333333334
38,0.7303370786516854
39,0.6082211197732106
40,0.5444347319347319
41,0.6888888888888889
42,0.5777777777777778
43,0.733132530120482
44,0.617872340425532
45,0.5833902939166097
46,0.6125626099905239
47,0.6258169934640523
49,0.753968253968254
50,0.530028129395218
51,0.6611111111111111
52,0.6994047619047619
53,0.5708245243128964
54,0.5660377358490566
55,0.7055555555555555
56,0.6054384017758047
57,0.7646670190274841
58,0.5133838383838384
59,0.6650401069518717
60,0.6845388281469021
61,0.6602372034956304
62,0.6003210272873194
63,0.5367032392894462
64,0.6499999999999999
65,0.6230614973262032
66,0.594534609515883
67,0.5388888888888889
68,0.6117211440245148
69,0.5722222222222222
70,0.5277777777777778
71,0.6277777777777778
72,0.6333333333333333
73,0.5368563685636857
74,0.6277777777777778
75,0.6403850313649145
76,0.6637215528781794
77,0.784072249589491
78,0.6107954545454546
79,0.6636828644501278
80,0.6430232558139535
81,0.8833333333333333
82,0.6222222222222222
83,0.73187414500684
84,0.6071935942141289
85,0.58607544141252
86,0.5839080459770115
87,0.667478354978355
88,0.4698329207920792
89,0.702061855670103
90,0.5852272727272727
91,0.6691672918229558
92,0.5101547388781431
93,0.5525316455696202
94,0.7660054719562244
95,0.60625
96,0.6853885135135135
97,0.6346796234436685
98,0.55
99,0.4878787878787879
100,0.6309523809523809
101,0.5888888888888889
102,0.5944444444444444
103,0.5421686746987951
104,0.591372852899393
105,0.6260869565217391
106,0.4515151515151515
107,0.451379974326059
108,0.7003996003996005
