perm_id,statistic
0,0.5009262260685151
1,0.4902200211061043
2,0.5040732828262241
3,0.4992609398156679
4,0.5114810950514425
5,0.4917255577315382
6,0.5051495919025144
7,0.5005696567958925
8,0.4931973909037094
9,0.4985921039009718
10,0.5066716675155748
11,0.4969808654274008
12,0.5002015439642661
13,0.5061326807088401
14,0.5040679655527938
15,0.4930881192101753
16,0.4992528220041803
17,0.5046568120421999
18,0.5052442235144261
19,0.5049889469558778
20,0.4986026693127032
21,0.4865709860166488
22,0.5089136863991385
23,0.5003526846715143
24,0.5056977322918833
25,0.5002979587312035
26,0.4993654972449344
27,0.4966187601667888
28,0.5031876805159397
29,0.5067463920847031
30,0.496677583568862
31,0.4964417038642518
32,0.5000139801089185
33,0.5109345734904578
34,0.5062382267660571
35,0.5012452588569475
36,0.5012815081698709
37,0.5046426285015151
38,0.4991563279711231
39,0.5007180826308892
40,0.5056411034413376
41,0.4997339133517076
42,0.505466064804574
43,0.4946193106891191
44,0.5015127948191297
45,0.4977898534977437
46,0.5029908182302952
47,0.5026534760335687
48,0.503646679885274
49,0.5043802254970186
50,0.506044056687719
51,0.4997149217033192
52,0.4928006772448162
53,0.5038270747197092
54,0.5037394968539555
55,0.4935765052082199
56,0.4951934407488778
57,0.5044141138149089
58,0.4963805965262962
59,0.5015186435716297
60,0.5073061863771111
61,0.4878701682984059
62,0.5024221725885694
63,0.5034358116757133
64,0.5011378892179273
65,0.4896848610670702
66,0.4953539189376691
67,0.494900910577489
68,0.4960395880677788
69,0.4987382821870879
70,0.5004099609625826
71,0.4876222104134124
72,0.491194983476469
73,0.4989226446811476
74,0.5050749963356184
75,0.5074029274835287
76,0.4984089484581717
77,0.4955193403320245
78,0.4965348774050117
79,0.4996706047164015
80,0.4951042114836827
81,0.4991866156944122
82,0.497693587579308
83,0.5090417964785716
84,0.5065018647238154
85,0.4985607422513656
86,0.4992050241134897
87,0.4913228302917605
88,0.4993733553473772
89,0.5029819430721452
90,0.5022458539393807
91,0.5064103331857348
92,0.5042260106739328
93,0.5000730955391484
94,0.4999354091591215
95,0.5017719077079112
96,0.5023088917660999
97,0.4971146950532889
98,0.4986459874724852
99,0.4874769143618527
100,0.494124057404013
101,0.5029585530351246
102,0.4932345792375686
103,0.5174671317179219
104,0.5032307240700147
105,0.502124588862924
106,0.497190826685067
107,0.499011555493441
108,0.501871073702247
109,0.4997383130354128
110,0.4792309100618393
111,0.5039663536027481
112,0.4990013727121432
113,0.5159734125277537
114,0.4951456633162874
115,0.508884271310826
116,0.497914776831986
117,0.4960623681853606
118,0.4989827824354605
119,0.5097085839729902
120,0.4953440232609171
121,0.4986817848115116
122,0.4998677789127627
123,0.5019648051895077
124,0.4970611514120867
125,0.5057808634781624
126,0.5072392127374393
127,0.4935513411546767
128,0.5147176637970601
129,0.4954512673081798
130,0.498220638865643
131,0.4970077128515382
132,0.498414050079922
133,0.4918658185046825
134,0.4911753902076736
135,0.4977459979565106
136,0.4901103600816339
137,0.498022026391066
138,0.5048982514721029
139,0.5034694971527843
140,0.5055038114906377
141,0.5173455399771983
142,0.4954178060420734
143,0.5015049129260759
144,0.5079846346018767
145,0.4995316534657002
146,0.50953556304527
147,0.5046000252305686
148,0.5017916308267023
149,0.4938780249002225
150,0.4879835474729993
151,0.506286712469514
152,0.4912562893146155
153,0.4951837470223018
154,0.494455208677049
155,0.5021540916465489
156,0.5026118889429072
157,0.4945935389439015
