subject,balanced_accuracy
1,0.6304347826086957
2,0.65527950310559
3,0.4648033126293995
4,0.7806324110671936
5,0.7960662525879918
6,0.6636904761904763
7,0.5434782608695652
8,0.5681818181818181
10,0.4791666666666667
11,0.5681818181818181
12,0.6130952380952381
14,0.7727272727272727
15,0.598343685300207
16,0.4822134387351778
18,0.6818181818181819
19,0.6956521739130435
20,0.5683229813664596
23,0.4484126984126984
25,0.708498023715415
26,0.8288043478260869
27,0.7181818181818183
28,0.6666666666666667
29,0.7
30,0.6117424242424242
31,0.642292490118577
33,0.5771739130434783
34,0.5662525879917184
35,0.3783422459893048
36,0.5703933747412009
37,0.8478260869565217
38,0.708498023715415
39,0.4851778656126482
40,0.5489130434782609
41,0.7253787878787878
42,0.6136363636363636
43,0.8157894736842105
45,0.6796536796536796
46,0.5630434782608695
47,0.7635869565217391
49,0.7779411764705882
50,0.5715579710144928
51,0.7907608695652174
52,0.6455108359133126
53,0.6273809523809524
55,0.775691699604743
57,0.75
58,0.4855072463768116
59,0.6666666666666666
60,0.7539525691699605
61,0.7045454545454546
62,0.642292490118577
63,0.5151515151515151
64,0.7635869565217391
65,0.5286561264822134
66,0.513888888888889
67,0.4545454545454545
68,0.3725296442687747
69,0.5371376811594203
70,0.491106719367589
71,0.6462450592885376
72,0.5721343873517787
73,0.4747474747474747
74,0.6041666666666666
76,0.8169336384439359
77,0.8045112781954887
78,0.7114624505928854
79,0.6323529411764706
80,0.5760869565217391
81,0.8636363636363636
82,0.5968379446640316
83,0.6818181818181819
84,0.5217391304347826
85,0.7045454545454546
86,0.5855263157894737
87,0.6232057416267942
88,0.5144230769230769
89,0.6346153846153846
90,0.5476190476190477
92,0.5125
93,0.4634387351778656
94,0.780952380952381
96,0.65
98,0.5503952569169961
100,0.5729166666666667
101,0.6946640316205533
102,0.5
103,0.5714285714285714
104,0.5822510822510822
105,0.6728260869565217
106,0.4668192219679633
107,0.4659090909090909
