analysis,n,bacc,ci_low,ci_high
Primary,102,0.6179239767273408,0.6035525544008872,0.632899080752947
No rejection,109,0.6185680325505829,0.6059231122670286,0.63271016261877
150 µV,94,0.6168866326577104,0.6016107827733146,0.6315603070032296
200 µV,102,0.6179239767273408,0.6035525544008872,0.632899080752947
Strict cohort,51,0.6140246117221465,0.5939350138864115,0.6348919341943466
First 60 s,102,0.6174294343606468,0.6021888970363913,0.6337650550573393
All events,102,0.6179239767273408,0.6035525544008872,0.632899080752947
Sampling-rate,99,0.6208994042979062,0.6068336331790134,0.6355133396657872
