subject,delta_bacc
1,0.0
2,0.0991379310344827
3,0.0669926004228329
4,0.2111111111111111
5,0.0931960049937578
6,0.0820626003210273
7,0.0933988764044944
8,0.0944444444444444
10,0.0779494382022472
11,0.1395755305867666
12,0.0999999999999999
14,0.1031835205992509
15,0.1590909090909091
16,-0.0388888888888889
18,0.1888888888888888
19,-0.0117977528089887
20,-0.0388888888888888
21,0.1391700404858299
23,0.1059082892416226
25,0.0611111111111111
26,0.1555555555555556
27,0.1158371040723982
28,0.0491664093856127
29,0.1284471218206158
30,0.0444444444444445
31,0.0333333333333333
32,0.0404247391952309
33,0.044496935648621
34,0.0833333333333333
35,-0.0570460704607045
36,0.032466684086752
37,0.1666666666666667
38,0.1348314606741574
39,0.0839829907866761
40,0.0371503496503496
41,0.1333333333333333
42,0.0388888888888889
43,0.0809810671256454
44,0.1214893617021277
45,0.051520847573479
46,0.0720860971977799
47,0.1065359477124182
49,0.2539682539682539
50,-0.0418424753867791
51,0.0999999999999999
52,0.1041666666666666
53,0.0755813953488372
54,0.1698113207547169
55,0.1611111111111109
56,0.0858305586385497
57,0.0775634249471458
58,0.0112373737373737
59,0.0930481283422459
60,0.1453602467059153
61,0.162983770287141
62,0.0917602996254681
63,0.0303683385579937
64,0.0388888888888887
65,0.1396390374331551
66,-0.0201831044527672
67,-0.05
68,0.0782686414708886
69,0.0444444444444445
70,0.0388888888888888
71,0.1166666666666667
72,0.0277777777777776
73,0.034959349593496
74,0.0944444444444444
75,0.0777633571274064
76,0.1315930388219545
77,0.0897646414887793
78,0.0954545454545454
79,0.1061381074168796
80,0.1102599179206567
81,0.3111111111111111
82,0.0555555555555555
83,0.2088919288645692
84,0.16879762366008
85,-0.0038790797217763
86,0.0516420361247947
87,-0.0186688311688312
88,0.005414603960396
89,0.2091065292096219
90,0.0909090909090908
91,0.1160915228807202
92,-0.0271483835313622
93,0.0949367088607594
94,0.1350205198358414
95,0.0062499999999999
96,0.1233108108108108
97,0.1593531733981172
98,0.0555555555555555
99,-0.0818181818181817
100,0.1130952380952381
101,-0.0222222222222222
102,0.0333333333333333
103,-0.0542168674698795
104,-0.0219553144775926
105,0.1234299516908211
106,0.0076515151515151
107,-0.0120346598202824
108,0.1214785214785215
