movement,n,bacc,ci_low,ci_high
left_fist,91,0.623027166616377,0.5991070585187291,0.6461147773096196
right_fist,90,0.6326375559977099,0.6142471349217009,0.6519507783615601
both_fists,92,0.6072309954242228,0.5852901684630433,0.6293840444491703
both_feet,91,0.613668756349467,0.592990505709186,0.6358919015587411
unilateral,102,0.6236906645230629,0.6065610996911402,0.6407854704571412
bilateral,102,0.6185446347028949,0.6014669004762196,0.6360980966305317
