experiment,model,fold,best_params,best_inner_score,inner_scoring,train_subjects,test_subjects
E05_spatial_control,erd_lr,1,{'clf__C': 0.01},0.5806314664199435,participant_mean_balanced_accuracy,1|5|6|7|8|10|11|12|15|18|20|21|25|26|29|30|31|33|35|36|37|38|39|40|41|42|45|49|51|52|54|55|57|59|62|63|64|65|67|68|69|70|71|72|73|74|76|78|81|82|84|85|86|87|88|89|93|97|98|101|102|105,14|16|28|34|43|47|50|66|77|79|80|90|92|94|104|109
E05_spatial_control,erd_lr,2,{'clf__C': 0.01},0.5767399523134433,participant_mean_balanced_accuracy,1|5|6|7|8|11|12|14|15|16|26|28|29|31|33|34|37|38|39|40|41|42|43|45|47|49|50|51|52|54|55|59|62|66|67|68|69|70|71|72|73|74|76|77|78|79|80|82|84|85|86|88|90|92|93|94|97|98|101|104|105|109,10|18|20|21|25|30|35|36|57|63|64|65|81|87|89|102
E05_spatial_control,erd_lr,3,{'clf__C': 0.01},0.5884230625159772,participant_mean_balanced_accuracy,5|6|8|10|11|12|14|15|16|18|20|21|25|26|28|29|30|33|34|35|36|38|39|40|41|42|43|47|49|50|55|57|63|64|65|66|68|69|72|73|76|77|78|79|80|81|82|85|86|87|88|89|90|92|93|94|97|98|101|102|104|109,1|7|31|37|45|51|52|54|59|62|67|70|71|74|84|105
E05_spatial_control,erd_lr,4,{'clf__C': 0.01},0.5795384680291733,participant_mean_balanced_accuracy,1|5|6|7|10|11|12|14|16|18|20|21|25|28|30|31|34|35|36|37|39|40|41|42|43|45|47|50|51|52|54|57|59|62|63|64|65|66|67|68|70|71|72|74|76|77|78|79|80|81|84|87|88|89|90|92|93|94|98|102|104|105|109,8|15|26|29|33|38|49|55|69|73|82|85|86|97|101
E05_spatial_control,erd_lr,5,{'clf__C': 0.01},0.5804890494106094,participant_mean_balanced_accuracy,1|7|8|10|14|15|16|18|20|21|25|26|28|29|30|31|33|34|35|36|37|38|43|45|47|49|50|51|52|54|55|57|59|62|63|64|65|66|67|69|70|71|73|74|77|79|80|81|82|84|85|86|87|89|90|92|94|97|101|102|104|105|109,5|6|11|12|39|40|41|42|68|72|76|78|88|93|98
