subject,bacc_sm,bacc_sc,difference_sm_minus_sc
1,0.5611111111111111,0.5232267732267732,0.03788433788433787
5,0.7144194756554307,0.5824894514767932,0.13193002417863753
6,0.6191813804173355,0.5741185897435898,0.045062790673745745
7,0.5421348314606742,0.6161909009812667,-0.07405606952059252
8,0.6111111111111112,0.4965667915106118,0.11454431960049938
10,0.6039964249233912,0.5244725738396625,0.07952385108372872
11,0.5980649188514358,0.5944444444444444,0.003620474406991314
12,0.6,0.5449735449735449,0.05502645502645509
14,0.6313358302122347,0.5976279650436953,0.03370786516853941
15,0.625,0.5891996142719382,0.03580038572806177
16,0.5722222222222222,0.5869256948383437,-0.014703472616121482
18,0.6888888888888889,0.6833333333333333,0.005555555555555536
20,0.4833333333333333,0.5333333333333333,-0.050000000000000044
21,0.6508097165991903,0.5850129198966408,0.06579679670254945
25,0.6555555555555556,0.5333333333333333,0.12222222222222223
26,0.7444444444444445,0.6611111111111111,0.08333333333333337
28,0.6189410311824637,0.5833333333333333,0.035607697849130426
29,0.6362784471218206,0.5534136546184738,0.08286479250334677
30,0.5555555555555556,0.5222222222222221,0.03333333333333344
31,0.5944444444444444,0.5555555555555556,0.03888888888888886
33,0.6116573033707865,0.5842696629213483,0.0273876404494382
34,0.5777777777777777,0.5555555555555556,0.022222222222222143
35,0.5304878048780488,0.5177506775067751,0.012737127371273749
36,0.5493206166710217,0.5848817567567568,-0.03556114008573508
37,0.7533333333333334,0.7666666666666666,-0.013333333333333197
38,0.7303370786516854,0.5546027742749055,0.17573430437677995
39,0.6082211197732106,0.6082949308755761,-7.381110236548416e-05
40,0.5444347319347319,0.6129445449065702,-0.06850981297183834
41,0.6888888888888889,0.6333333333333333,0.05555555555555558
42,0.5777777777777778,0.5833333333333333,-0.005555555555555425
43,0.733132530120482,0.6098484848484849,0.1232840452719971
45,0.5833902939166097,0.6215384615384616,-0.038148167621851914
47,0.6258169934640523,0.5944444444444444,0.03137254901960784
49,0.753968253968254,0.6162280701754386,0.13774018379281538
50,0.530028129395218,0.6425457102672293,-0.11251758087201125
51,0.6611111111111111,0.6444444444444445,0.016666666666666607
52,0.6994047619047619,0.640990990990991,0.05841377091377087
54,0.5660377358490566,0.5990740740740741,-0.0330363382250175
55,0.7055555555555555,0.5944444444444444,0.11111111111111105
57,0.7646670190274841,0.630718954248366,0.13394806477911814
59,0.6650401069518717,0.6047856253335706,0.06025448161830105
62,0.6003210272873194,0.46475387907972177,0.13556714820759763
63,0.5367032392894462,0.5735867446393762,-0.03688350534993001
64,0.6499999999999999,0.6,0.04999999999999993
65,0.6230614973262032,0.529795821462488,0.09326567586371515
66,0.594534609515883,0.5886623416743899,0.005872267841493084
67,0.5388888888888889,0.5303683385579938,0.00852055033089505
68,0.6117211440245148,0.5364130434782608,0.07530810054625403
69,0.5722222222222222,0.5375,0.03472222222222221
70,0.5277777777777778,0.5439841558012873,-0.01620637802350955
71,0.6277777777777778,0.5954664341761116,0.03231134360166621
72,0.6333333333333333,0.6084893882646691,0.024843945068664164
73,0.5368563685636857,0.4796747967479674,0.05718157181571826
74,0.6277777777777778,0.519725343320849,0.1080524344569288
76,0.6637215528781794,0.6655957161981259,-0.001874163319946498
77,0.784072249589491,0.7121360411059456,0.07193620848354532
78,0.6107954545454546,0.5763649425287356,0.034430512016718984
79,0.6636828644501278,0.7051920341394026,-0.04150916968927476
80,0.6430232558139535,0.4832792207792208,0.15974403503473267
81,0.8833333333333333,0.7333333333333334,0.1499999999999999
82,0.6222222222222222,0.5971199793361746,0.025102242886047677
84,0.6071935942141289,0.5105263157894737,0.09666727842465517
85,0.58607544141252,0.6235632183908046,-0.03748777697828465
86,0.5839080459770115,0.5049350024073183,0.07897304356969326
87,0.667478354978355,0.5438273670123788,0.12365098796597618
88,0.4698329207920792,0.48832831325301207,-0.018495392460932847
89,0.702061855670103,0.6291523482245132,0.07290950744558988
90,0.5852272727272727,0.5116892911010558,0.07353798162621694
92,0.5101547388781431,0.5791977611940299,-0.06904302231588677
93,0.5525316455696202,0.503370786516854,0.04916085905276624
94,0.7660054719562244,0.641025641025641,0.1249798309305834
97,0.6346796234436685,0.6740442655935615,-0.03936464214989299
98,0.55,0.5333333333333333,0.01666666666666672
101,0.5888888888888889,0.6756112104949314,-0.08672232160604254
102,0.5944444444444444,0.5666666666666667,0.02777777777777779
104,0.591372852899393,0.5861423220973783,0.005230530802014743
105,0.6260869565217391,0.5964802011313639,0.02960675539037516
